module,frac,noise
304152580,0.001153,0.0002686
304152584,0.001297,0.0002587
304152588,0.001573,0.0002569
304152592,0.001909,0.0002563
304152596,0.001926,0.0002543
304152600,0.001604,0.0002512
304152604,0.001317,0.000246
304152608,0.001159,0.0002427
304156676,0.0011,0.0002259
304156680,0.001237,0.0002255
304156684,0.001473,0.000221
304156688,0.001784,0.0002208
304156692,0.001803,0.0002229
304156696,0.001516,0.0002176
304156700,0.001254,0.0002114
304156704,0.001106,0.0002096
304160772,0.001158,0.0002274
304160776,0.001303,0.0002385
304160780,0.001583,0.0002321
304160784,0.001921,0.0002243
304160788,0.001941,0.0002271
304160792,0.001616,0.0002235
304160796,0.001324,0.0002206
304160800,0.001166,0.00022
304164868,0.00112,0.0002125
304164872,0.001253,0.0002137
304164876,0.001504,0.0002086
304164880,0.001804,0.0002163
304164884,0.001816,0.0002156
304164888,0.00153,0.0002082
304164892,0.001268,0.0002002
304164896,0.001119,0.0001976
304168964,0.001174,0.0002309
304168968,0.001386,0.0002294
304168972,0.0008063,0.0001142
304168976,0.001943,0.0002249
304168980,0.001959,0.0002266
304168984,0.001634,0.000224
304168988,0.00134,0.0002161
304168992,0.00118,0.0002124
304173060,0.001065,0.0001955
304173064,0.001197,0.0001939
304173068,0.0007205,0.0001005
304173072,0.001709,0.0001977
304173076,0.001725,0.000199
304173080,0.00197,0.02603
304173084,0.001218,0.0001895
304173088,0.001075,0.0001861
304177156,0.001166,0.0002257
304177160,0.001312,0.00022
304177164,0.001595,0.0002231
304177168,0.00183,0.0002127
304177172,0.001954,0.0002259
304177176,0.001627,0.0002212
304177180,0.001326,0.000216
304177184,0.00117,0.0002124
304181256,0.001255,0.000209
304181260,0.001508,0.0002111
304181264,0.00181,0.0002098
304181268,0.001824,0.000215
304181272,0.001532,0.0002096
304181276,0.001268,0.0002041
304181280,0.001125,0.0002031
304185348,0.001174,0.0002176
304185352,0.001317,0.0002251
304185356,0.0016,0.0002259
304185360,0.001952,0.0002208
304185364,0.001954,0.0002169
304185368,0.001633,0.0002115
304185372,0.001341,0.0002096
304185376,0.001179,0.0002044
304189448,0.001246,0.0002101
304189452,0.001503,0.0002059
304189456,0.00181,0.0002107
304189460,0.001822,0.0002076
304189464,0.001534,0.0002022
304189468,0.001262,0.0001968
304189472,0.0007202,0.0001161
304193540,0.001164,0.0002334
304193544,0.001307,0.000228
304193548,0.001585,0.0002278
304193552,0.001926,0.0002264
304193556,0.00195,0.0002291
304193560,0.001622,0.0002254
304193564,0.001324,0.000226
304193568,0.001167,0.0002182
304197636,0.001104,0.000221
304197640,0.00124,0.0002239
304197644,0.001488,0.0002274
304197648,0.00179,0.0002305
304197652,0.001816,0.0002315
304197656,0.001526,0.000229
304197660,0.00126,0.000228
304197664,0.001111,0.00022
304201732,0.001165,0.0002593
304201736,0.001305,0.000266
304201740,0.001585,0.0002662
304201744,0.001929,0.0002713
304201748,0.001886,0.000276
304201752,0.00162,0.0002661
304201756,0.001327,0.0002675
304201760,0.001171,0.0002615
305201160,0.0007561,0.0001034
305201168,0.0008939,0.0007271
305201172,0.0008918,9.678e-05
305201176,0.0008156,9.733e-05
305201180,0.0007251,9.865e-05
305201184,0.000657,9.455e-05
305205252,0.0006303,9.907e-05
305205256,0.0006916,9.799e-05
305205260,0.0007796,9.782e-05
305205264,0.0008558,9.789e-05
305205268,0.0008579,9.791e-05
305205272,0.0007377,9.511e-05
305205276,0.0006997,9.527e-05
305205280,0.0006347,9.551e-05
305209348,0.0006527,0.0001012
305209352,0.0007155,0.0001003
305209356,0.000803,0.0001021
305209360,0.0008906,9.803e-05
305209364,0.0008887,0.0001174
305209368,0.0008121,9.814e-05
305209372,0.0007221,9.643e-05
305209376,0.0006576,9.704e-05
305213444,0.0006325,9.482e-05
305213448,0.0006919,0.0001004
305213452,0.0007768,9.983e-05
305213456,0.0008586,9.815e-05
305213460,0.0008578,0.000101
305213464,0.0007868,9.643e-05
305213468,0.0006974,9.743e-05
305213472,0.0006341,9.652e-05
305217540,0.0006513,0.000103
305217548,0.0008048,9.782e-05
305217552,0.0008888,0.0001001
305217556,0.0008943,0.0001006
305217560,0.0008132,0.0001008
305217564,0.0007225,9.919e-05
305217568,0.0006561,9.988e-05
305221636,0.0006316,9.83e-05
305221640,0.0006918,0.0001005
305221644,0.0007782,9.84e-05
305221648,0.000857,9.753e-05
305221652,0.00086,9.801e-05
305221656,0.000784,0.0001001
305221660,0.0007007,9.667e-05
305221664,0.0006351,9.904e-05
305225732,0.0006479,0.000106
305225736,0.0007095,0.0001033
305225740,0.0008032,9.955e-05
305225744,0.0008908,0.000103
305225748,0.0008938,0.000102
305225752,0.0008127,0.0001021
305225756,0.0007218,0.0001043
305225760,0.0006546,0.0001019
305229828,0.0006369,0.0001024
305229832,0.0006966,0.0001013
305229836,0.00078,0.0001001
305229840,0.0008597,0.000101
305229844,0.0008594,0.0001016
305229848,0.0007877,0.0001012
305229852,0.000699,0.0001009
305229856,0.0006358,9.838e-05
305233924,0.0006555,0.0001021
305233932,0.0008096,0.0001005
305233936,0.000894,0.0001015
305233940,0.0008958,9.868e-05
305233944,0.0008168,0.0001014
305233948,0.0007242,9.665e-05
305233952,0.0006583,9.772e-05
305238020,0.0006346,0.0001038
305238024,0.0006952,0.000102
305238028,0.0007806,0.0001039
305238032,0.0008606,0.0001029
305238036,0.00086,9.998e-05
305238040,0.000789,9.714e-05
305238044,0.0007034,9.924e-05
305238048,0.0006387,9.839e-05
305242116,0.0006567,0.0001004
305242120,0.0007198,0.0001018
305242124,0.0008131,0.0001023
305242128,0.0008926,0.000103
305242132,0.0008972,0.0001003
305242136,0.0008178,0.0001015
305242140,0.000726,9.982e-05
305242144,0.0006587,9.897e-05
305246212,0.0006399,0.0001013
305246216,0.0007015,0.0001019
305246220,0.000786,9.727e-05
305246224,0.0008648,0.000102
305246228,0.0008631,9.921e-05
305246232,0.0007907,9.783e-05
305246240,0.0006421,9.638e-05
305250308,0.0006605,0.0001006
305250312,0.000675,9.195e-05
305250316,0.0008141,9.776e-05
305250320,0.0009014,0.0001014
305250324,0.0009019,9.986e-05
305250328,0.0008215,9.686e-05
305250332,0.0007269,9.737e-05
305250336,0.0006623,9.539e-05
305254404,0.0006384,0.0001049
305254408,0.0007015,9.767e-05
305254412,0.0007874,0.0001019
305254416,0.000868,9.889e-05
305254420,0.0008668,9.738e-05
305254424,0.0007951,0.0001021
305254428,0.0007056,9.813e-05
305254432,0.000643,9.675e-05
305258500,0.0006229,9.856e-05
305258504,0.0007258,0.0001019
305258508,0.0008171,0.0001035
305258512,0.0009055,0.0001029
305258516,0.000907,0.0001038
305258520,0.0008269,0.0001021
305258524,0.0007325,0.0001001
305258528,0.0006648,0.0001024
305262596,0.0006426,0.0001083
305262600,0.000704,0.0001094
305262604,0.0007934,0.0001036
305262608,0.0008724,0.0001089
305262612,0.0008725,0.0001049
305262616,0.0008001,0.00011
305262620,0.0007116,0.0001052
305262624,0.0006446,0.0001006
305266692,0.0006648,0.0001157
305266696,0.0007284,0.0001141
305266700,0.0008243,0.0001103
305266704,0.0009103,0.0001124
305266708,0.0009123,0.0001131
305266712,0.0008317,0.0001161
305266716,0.0007365,0.00011
305266720,0.000668,0.0001099
305270788,0.0006265,0.0001107
305270792,0.0006855,0.0001086
305270796,0.0007235,0.0001027
305270800,0.0008431,0.00011
305270804,0.0008423,0.000107
305270808,0.0007752,0.0001094
305270812,0.0006895,0.0001083
305270816,0.0006303,0.0001106
305274884,0.0006619,0.0001172
305274888,0.0007263,0.0001161
305274892,0.0008212,0.0001129
305274896,0.0009055,0.0001128
305274900,0.0009115,0.0001133
305274904,0.0008299,0.0001139
305274908,0.0007366,0.0001148
305274912,0.0006679,0.0001137
305278980,0.0006402,0.0001089
305278984,0.000704,0.0001095
305278988,0.0007924,0.0001112
305278992,0.000872,0.0001088
305278996,0.0008762,0.0001072
305279000,0.0007995,0.0001053
305279004,0.0007114,0.0001072
305279008,0.000649,0.0001055
305283092,0.0009085,0.0001026
305283096,0.0008276,0.0001035
305283100,0.0007346,0.000101
305283104,0.0006689,0.0001037
305287188,0.0008725,9.941e-05
305287192,0.0007978,9.99e-05
305287196,0.0007086,9.947e-05
305287200,0.0006438,9.631e-05
